./load3.x 3 0 1750150344 565208803 1750150344,56521 3
./load3.x 3 1 1750150346 346482301 1750150346,34648 3
./load3.x 3 2 1750150348 109563080 1750150348,10956 3
./load3.x 3 3 1750150349 909385429 1750150349,90939 3
./load3.x 3 4 1750150351 609745089 1750150351,60975 3
./load3.x 3 5 1750150353 387208652 1750150353,38721 3
./load3.x 3 6 1750150355 262188344 1750150355,26219 3
./load3.x 3 7 1750150356 994554215 1750150356,99455 3
./load3.x 3 8 1750150358 836770818 1750150358,83677 3
./load3.x 3 9 1750150359 675261121 1750150359,67526 3
./load3.x 3 10 1750150361 406991538 1750150361,40699 3
./load1.x 1 0 1750150344 563852136 1750150344,56385 1
./load1.x 1 1 1750150346 388922484 1750150346,38892 1
./load1.x 1 2 1750150348 170059378 1750150348,17006 1
./load1.x 1 3 1750150349 912916593 1750150349,91292 1
./load1.x 1 4 1750150351 686422534 1750150351,68642 1
./load1.x 1 5 1750150353 555921628 1750150353,55592 1
./load1.x 1 6 1750150355 336803098 1750150355,3368 1
./load1.x 1 7 1750150357 47893369 1750150357,04789 1
./load1.x 1 8 1750150358 871263693 1750150358,87126 1
./load1.x 1 9 1750150359 666615729 1750150359,66662 1
./load1.x 1 10 1750150361 525136196 1750150361,52514 1
./load2.x 2 0 1750150344 564472065 1750150344,56447 2
./load2.x 2 1 1750150346 390540561 1750150346,39054 2
./load2.x 2 2 1750150348 195237228 1750150348,19524 2
./load2.x 2 3 1750150349 994981298 1750150349,99498 2
./load2.x 2 4 1750150351 741756994 1750150351,74176 2
./load2.x 2 5 1750150353 588617925 1750150353,58862 2
./load2.x 2 6 1750150355 392671457 1750150355,39267 2
./load2.x 2 7 1750150357 166686577 1750150357,16669 2
./load2.x 2 8 1750150358 968461781 1750150358,96846 2
./load2.x 2 9 1750150359 766939218 1750150359,76694 2
./load2.x 2 10 1750150361 552111939 1750150361,55211 2
./load4.x 4 0 1750150344 567144309 1750150344,56714 4
./load4.x 4 1 1750150346 356276893 1750150346,35628 4
./load4.x 4 2 1750150348 158667503 1750150348,15867 4
./load4.x 4 3 1750150349 962649705 1750150349,96265 4
./load4.x 4 4 1750150351 762178183 1750150351,76218 4
./load4.x 4 5 1750150353 603791419 1750150353,60379 4
./load4.x 4 6 1750150355 469253464 1750150355,46925 4
./load4.x 4 7 1750150357 121948332 1750150357,12195 4
./load4.x 4 8 1750150358 949471906 1750150358,94947 4
./load4.x 4 9 1750150359 822764138 1750150359,82276 4
./load4.x 4 10 1750150361 613664697 1750150361,61366 4
./load5.x 5 0 1750150344 579133722 1750150344,57913 5
./load5.x 5 1 1750150346 439085094 1750150346,43909 5
./load5.x 5 2 1750150348 170095535 1750150348,1701 5
./load5.x 5 3 1750150350 26243615 1750150350,02624 5
./load5.x 5 4 1750150351 841655329 1750150351,84166 5
./load5.x 5 5 1750150353 710052289 1750150353,71005 5
./load5.x 5 6 1750150355 577531137 1750150355,57753 5
./load5.x 5 7 1750150357 284305898 1750150357,28431 5
./load5.x 5 8 1750150359 164847086 1750150359,16485 5
./load5.x 5 9 1750150359 977696652 1750150359,9777 5
./load5.x 5 10 1750150361 753855106 1750150361,75386 5
